,video_id,channelTitle,course,video_type,episode_title,episode_num,episode_title_len,tag_Count,publishedDate,publishedTime,days_published_for,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,with_Arizona
1112,mCzchPx3yF8,CrashCourse,Astronomy,regular course,The Moon,12.0,9,22.0,2015-04-10,01:04:53,2998,1606808.0,19670.0,,1155.0,591.0,hd,True,False
1113,71pCilo8k4M,CrashCourse,Anatomy & Physiology,regular course,Autonomic Nervous System,13.0,25,16.0,2015-04-06,22:33:29,3002,2762179.0,31129.0,,605.0,529.0,hd,True,False
1114,k7dTDjRnBqU,CrashCourse,World History,regular course,"Democracy, Authoritarian Capitalism, and China",230.0,46,22.0,2015-04-04,23:39:21,3004,2116262.0,35300.0,,3544.0,932.0,hd,True,False
1115,WEZDcmEeig0,CrashCourse,outtakes,outtakes,Outtakes #1  Government and Politics,,36,11.0,2015-04-03,20:29:18,3005,77004.0,1622.0,,92.0,336.0,hd,True,False
1116,w-9gDALvMF4,CrashCourse,Astronomy,regular course,The Earth,11.0,10,21.0,2015-04-02,21:12:43,3006,1399794.0,18617.0,,1345.0,614.0,hd,True,False
1117,QY9NTVh-Awo,CrashCourse,Anatomy & Physiology,regular course,Peripheral Nervous System,12.0,26,16.0,2015-03-30,21:00:01,3009,2676962.0,26916.0,,549.0,602.0,hd,True,False
1118,ZT9ipQdYL-s,CrashCourse,Government and Politics,regular course,Congressional Decisions,10.0,24,26.0,2015-03-27,22:59:38,3012,685240.0,6109.0,,347.0,396.0,hd,True,False
1119,acNkMAywRN0,CrashCourse,outtakes,outtakes,Outtakes #1  Astronomy,,22,9.0,2015-03-26,22:42:48,3013,114056.0,2680.0,,166.0,238.0,hd,False,False
1120,MuDf3BBGS8U,CrashCourse,outtakes,outtakes,World History Season 2 Outtakes v2,,34,11.0,2015-03-25,22:53:13,3014,141453.0,2880.0,,198.0,406.0,hd,True,False
1121,q8NtmDrb_qo,CrashCourse,Anatomy & Physiology,regular course,Central Nervous System,11.0,23,23.0,2015-03-23,21:00:00,3016,4080232.0,44100.0,,970.0,608.0,hd,True,False
1122,66f4-NKEYz4,CrashCourse,Government and Politics,regular course,How a Bill Becomes a Law,9.0,25,24.0,2015-03-20,23:03:53,3019,1929993.0,17239.0,,906.0,421.0,hd,True,False
1123,b22HKFMIfWo,CrashCourse,Astronomy,regular course,The Sun,10.0,8,22.0,2015-03-19,23:04:42,3020,2309048.0,29435.0,,1510.0,724.0,hd,True,False
1124,zPIhMJGWiM8,CrashCourse,World History,regular course,Capitalism and the Dutch East India Company,229.0,43,32.0,2015-03-19,00:42:32,3020,2021332.0,31542.0,,3523.0,940.0,hd,True,False
1125,sac32vONnvI,CrashCourse,outtakes,outtakes,Outtakes #1  A&P,,16,4.0,2015-03-17,01:00:01,3022,123212.0,2899.0,,228.0,272.0,hd,True,False
1126,VO_1VbQADW8,CrashCourse,unknown,unknown,Become a Crash Course Patron!,,29,21.0,2015-03-16,23:34:04,3023,68825.0,2668.0,,224.0,198.0,hd,True,False
1127,L8urcMLGFyU,CrashCourse,Government and Politics,regular course,Congressional Leadership,8.0,25,23.0,2015-03-14,23:57:14,3025,1036037.0,9546.0,,596.0,492.0,hd,True,False
1128,eP-mv5IjFzY,CrashCourse,World History,regular course,Nonviolence and Peace Movements,228.0,31,24.0,2015-03-13,13:34:08,3026,1618216.0,18257.0,,1910.0,769.0,hd,True,False
1129,TKM0P3XlMNA,CrashCourse,Astronomy,regular course,Introduction to the Solar System,9.0,33,15.0,2015-03-12,23:00:00,3027,1860803.0,22515.0,,1065.0,617.0,hd,True,False
1130,VitFvNvRIIY,CrashCourse,Anatomy & Physiology,regular course,"The Nervous System, Part 3 - Synapses!",10.0,39,19.0,2015-03-10,17:30:00,3029,4257366.0,48391.0,,1086.0,657.0,hd,True,False
1131,evLR90Dx79M,CrashCourse,Government and Politics,regular course,Congressional Committees,7.0,25,28.0,2015-03-07,00:38:25,3032,1333369.0,11788.0,,1147.0,508.0,hd,True,False
1132,KlWpFLfLFBI,CrashCourse,Astronomy,regular course,Tides,8.0,6,17.0,2015-03-05,22:00:01,3034,1584010.0,20129.0,,1146.0,587.0,hd,True,False
1133,ZnZEoOJ-cxE,CrashCourse,World History,regular course,Japan in the Heian Period and Cultural History,227.0,46,25.0,2015-03-05,01:35:54,3034,2809247.0,35639.0,,2509.0,813.0,hd,True,False
1134,OZG8M_ldA1M,CrashCourse,Anatomy & Physiology,regular course,"The Nervous System, Part 2 - Action! Potential!",9.0,48,10.0,2015-03-02,22:00:01,3037,6416028.0,77508.0,,1764.0,704.0,hd,True,False
1135,qxiD9AEX4Hc,CrashCourse,Government and Politics,regular course,Congressional Elections,6.0,24,20.0,2015-02-28,02:11:58,3039,1208150.0,12953.0,,735.0,538.0,hd,True,False
1136,TRAbZxQHlVw,CrashCourse,Astronomy,regular course,The Gravity of the Situation,7.0,29,10.0,2015-02-26,22:00:01,3041,1415944.0,19556.0,,1225.0,603.0,hd,True,False
1137,8w4Ku6l7OEI,CrashCourse,World History,regular course,Iran's Revolutions,226.0,18,24.0,2015-02-26,16:12:15,3041,3922226.0,52089.0,,,821.0,hd,True,False
1138,qPix_X-9t7E,CrashCourse,Anatomy & Physiology,regular course,"The Nervous System, Part 1",8.0,27,9.0,2015-02-23,22:31:49,3044,8301993.0,96138.0,,2117.0,636.0,hd,True,False
1139,kCCmuftyj8A,CrashCourse,Government and Politics,regular course,Constitutional Compromises,5.0,27,17.0,2015-02-21,03:01:02,3046,2003188.0,17709.0,,984.0,537.0,hd,True,False
1140,mYhy7eaazIk,CrashCourse,Astronomy,regular course,Telescopes,6.0,11,,2015-02-19,22:00:00,3048,1415043.0,21139.0,,810.0,720.0,hd,True,False
1141,1F0qH0EEBfo,CrashCourse,unknown,unknown,Crash Course Intellectual Property and Economics!,,49,13.0,2015-02-18,23:45:51,3049,163739.0,5836.0,,1168.0,116.0,hd,True,False
1142,EN-x-zXXVwQ,CrashCourse,Anatomy & Physiology,regular course,"The Integumentary System, Part 2 - Skin Deeper",7.0,47,9.0,2015-02-16,22:00:00,3051,2127149.0,21555.0,,589.0,597.0,hd,True,False
1143,J0gosGXSgsI,CrashCourse,Government and Politics,regular course,Federalism,4.0,11,35.0,2015-02-14,21:26:11,3053,2999235.0,30372.0,,1819.0,555.0,hd,True,False
1144,PRgua7xceDA,CrashCourse,Astronomy,regular course,Eclipses,5.0,9,9.0,2015-02-13,16:00:01,3054,1602117.0,19540.0,,1172.0,632.0,hd,True,False
1145,v6xi8_7Fy6Y,CrashCourse,World History,regular course,War and Nation Building in Latin America,225.0,40,29.0,2015-02-12,04:29:20,3055,1670611.0,23935.0,,2846.0,734.0,hd,True,False
1146,Orumw-PyNjw,CrashCourse,Anatomy & Physiology,regular course,"The Integumentary System, Part 1 - Skin Deep",6.0,45,7.0,2015-02-09,23:50:48,3058,4120548.0,44080.0,,903.0,580.0,hd,True,False
1147,0bf3CwYCxXw,CrashCourse,Government and Politics,regular course,Separation of Powers and Checks and Balances,3.0,45,32.0,2015-02-07,00:05:43,3060,3153992.0,30438.0,,1495.0,511.0,hd,True,False
1148,AQ5vty8f9Xc,CrashCourse,Astronomy,regular course,Moon Phases,4.0,12,5.0,2015-02-05,22:00:02,3062,3093112.0,37877.0,,1752.0,586.0,hd,True,False
1149,Wc5zUK2MKNY,CrashCourse,World History,regular course,The Vikings! ,224.0,13,37.0,2015-02-04,23:58:26,3063,3328780.0,44234.0,,4352.0,678.0,hd,True,False
1150,Jvtb0a2RXaY,CrashCourse,Anatomy & Physiology,regular course,"Tissues, Part 4 - Types of Connective Tissues",5.0,46,9.0,2015-02-02,22:00:00,3065,2073878.0,23002.0,,559.0,583.0,hd,True,False
1151,n9defOwVWS8,CrashCourse,Government and Politics,regular course,The Bicameral Congress,2.0,23,30.0,2015-01-30,22:40:43,3068,3133959.0,35110.0,,1877.0,545.0,hd,True,False
1152,01QWC-rZcfE,CrashCourse,Astronomy,regular course,Cycles in the Sky,3.0,18,8.0,2015-01-29,22:00:00,3069,1526499.0,24227.0,,1021.0,569.0,hd,True,False
1153,1wo2TLlMhiw,CrashCourse,World History,regular course,Conflict in Israel and Palestine,223.0,32,24.0,2015-01-28,23:52:53,3070,11293008.0,188226.0,,,773.0,hd,True,False
1154,D-SzmURNBH0,CrashCourse,Anatomy & Physiology,regular course,"Tissues, Part 3 - Connective Tissues",4.0,37,7.0,2015-01-26,22:30:03,3072,2726712.0,27378.0,,641.0,629.0,hd,True,False
1155,lrk4oY7UxpQ,CrashCourse,unknown,unknown,Introduction: Crash Course U.S. Government and Politics,,55,40.0,2015-01-23,22:50:15,3075,5034434.0,56575.0,,3541.0,407.0,hd,True,False
1156,L-Wtlev6suc,CrashCourse,Astronomy,regular course,Naked Eye Observations,2.0,23,5.0,2015-01-22,23:17:49,3076,1915362.0,34550.0,,1235.0,677.0,hd,True,False
1157,rP54LFFSZ1Q,CrashCourse,World History,regular course,Water and Classical Civilizations,222.0,33,22.0,2015-01-22,03:22:40,3076,1462128.0,17671.0,,1235.0,669.0,hd,True,False
1158,lUe_RI_m-Vg,CrashCourse,Anatomy & Physiology,regular course,"Tissues, Part 2 - Epithelial Tissue",3.0,36,6.0,2015-01-19,23:13:44,3079,3621666.0,40485.0,,936.0,616.0,hd,True,False
1159,4uArRzwKHvE,CrashCourse,World History,regular course,Congo and Africa's World War,221.0,28,30.0,2015-01-16,22:01:41,3082,2080421.0,30408.0,,3329.0,777.0,hd,True,False
1160,0rHUDWjR5gg,CrashCourse,Astronomy,regular course,Introduction to Astronomy,1.0,26,5.0,2015-01-15,22:00:55,3083,4650478.0,85034.0,,3674.0,732.0,hd,True,False
1161,i5tR3csCWYo,CrashCourse,Anatomy & Physiology,regular course,"Tissues, Part 1",2.0,16,6.0,2015-01-12,19:49:57,3086,5072672.0,55208.0,,1056.0,643.0,hd,True,False
1162,kq1HUTLtNW4,CrashCourse,Big History,regular course,The Deep Future,10.0,16,30.0,2015-01-09,20:42:30,3089,1268014.0,23973.0,,2670.0,811.0,hd,True,False
1163,uBGl2BujkPQ,CrashCourse,Anatomy & Physiology,regular course,Introduction to Anatomy & Physiology,1.0,37,7.0,2015-01-06,18:39:40,3092,8874352.0,131312.0,,3202.0,680.0,hd,True,False
1164,ey0aOlTRwAI,CrashCourse,outtakes,outtakes,World History Outtakes!,,23,7.0,2014-12-26,22:50:01,3103,232352.0,5043.0,,193.0,263.0,hd,True,False
1165,pVkUCrgQCCc,CrashCourse,Preview,preview,Crash Course Anatomy & Physiology,,33,,2014-12-15,23:02:31,3114,1739108.0,18767.0,,874.0,113.0,hd,True,False
1166,H-2q-QMUIgY,CrashCourse,World History,regular course,"World War II, A War for Resources",220.0,34,29.0,2014-12-14,23:34:12,3115,2642458.0,32835.0,,3117.0,662.0,hd,True,False
1167,3WpaLt_Blr4,CrashCourse,Big History,regular course,The Anthropocene and the Near Future,9.0,37,27.0,2014-12-11,16:20:46,3118,1175831.0,19681.0,,1878.0,740.0,hd,True,False
1168,oWC_AG7VwjY,CrashCourse,outtakes,outtakes,Outtakes #5  Psychology,,23,7.0,2014-12-08,22:43:19,3121,118628.0,2278.0,,157.0,248.0,hd,True,False
1169,MRYzW3BSj0I,CrashCourse,World History,regular course,Charles V and the Holy Roman Empire,219.0,36,54.0,2014-12-06,01:46:39,3123,2653905.0,30037.0,,3403.0,796.0,hd,True,False
